원시시대,,,
기술,건물,관련상품,해금/효과
원시 농경,밀농장,밀,밀농장 해금(밀 생산)
원시 건축,집,,집 해금(인구 증가)
목재 가공,벌목장,나무,벌목장 해금(나무 생산)
석기 제작,공구공장,공구,공구 상품 해금(나무를 소비해서 공구 생산)
채집 지식,약초밭,약초,약초밭 해금(약초 생산)
가축 길들이기,목축장,고기,목축장 해금(고기 생산)
털 손질,목축장,직물,목축장 강화(직물 산출 추가)
저장법,밀농장,밀,밀농장 강화(효율 +1)
뼈바늘,의류 공방,의류,의류 공방 해금(직물을 소비해서 의류 생산)
돌 다듬기,채석장,석재,"채석장 해금(석재 생산), 공구공장 강화(석재 소비해서 효율 +1)"
,,,
고대시대,,,
기술,건물,생산,해금/효과
달력,밀농장,밀,밀농장 강화(생산 효율 +1)
청동 제련,구리 광산,구리,구리 광산 해금(구리 생산)
문자 발명,수도,과학,집 강화(인구 과학 생산 +1)
도시 계획,집,,집 강화(인구 +1)
벽돌 건축,채석장,석재,"채석장 강화(효율+1), 집 강화(석재 추가시 인구 +1)"
수레,밀농장/벌목장,밀/나무,"밀 농장 강화, 벌목장 강화(공구 투입 시 효율 +1)"
조세 제도,수도,국고,세율 +0.05
귀금속 활용,금 광산,귀금속,금 광산 해금
관개 농업,밀농장,밀,밀농장 강화(효율 +1)
청동 도구,공구공장,공구,공구공장 강화(구리 투입 시 공구 효율 +1)
약초 재배,기호품 공장,,기호품 공장 해금
,,,
고전시대,,,
기술,건물,생산,해금/효과
철 제련,철 광산,철,"철 광산 해금, 공구공장 강화(철 투입 시 공구 효율 +1)"
철제 도구,공구공장,공구,"벌목장 강화(공구 투입시 효율 +1 추가), 채석장 강화(공구 투입시 효율 +1)"
화폐 주조,금 광산,귀금속,귀금속 효율 +1
약초 가공,약품 공장,약품,약품 공장 해금(약초 투입해서 약품 생산)
고전 농법,밀농장,밀,밀 효율 +1
유리 제작,유리 공방,유리,유리 공방 해금(석재 투입해서 유리 생산)
장인 작업장,가구 공방,가구,가구 상품 해금
제지술,종이 공방,종이,종이 상품 해금
정규 조세,수도,국고,세율 +0.05
,,,
,,,
,,,
중세시대,,,
기술,건물,생산,해금/효과
삼포제,밀농장,밀,"밀 효율 +1, 목축장 강화(밀 투입시 고기 생산 효율 +1, 직물 생산 효율 +1)"
풍차,식료품 공장,식료품,식료품 공장 해금(밀 소비해서 식료품)
수차,공구공장,공구,공구공장 효율 +1
길드,가구 공방,가구,가구공장 강화 (공구 투입 시 가구 공방 효율 +1)
재단술,의류 공방,의류,의류 공방 효율 +1
석조 주택,집,인구,석재 투입 시 주거 효율 +1
약초학,약초밭/기호품 공장,,"약초밭 효율 +1, 기호품 공장 효율 +1"
광산 배수,구리 광산/금 광산/철 광산,구리/귀금속/철,구리 광산/금 광산/철 광산 강화(공구 투입 시 효율 +1)
성곽 건축,,,집 효율 +1
장부 회계,수도,국고,세율 +0.05
대학,종이 공방,종이,"학교(종이 투입 후 과학 생산), 종이 공방 강화(종이 생산 효율 +1)"
,,,
르네상스시대,,,
기술,건물,생산,해금/효과
인쇄술,종이 공방,종이,종이 공방 효율 +2
복식부기,수도,국고,세율 +0.05
대형 선박,벌목장,나무,벌목장 효율 +1
정밀 공구,공구공장,공구,공구공장 강화(철 투입 시 공구 효율 +2)
유리 렌즈,유리 공방,유리,"유리공방 강화(유리 효율 +1), 학교(유리 투입시 종이 생산 효율+1)"
화약 제조,화약 공방,폭약,화약 공방 해금(유황 투입하여 폭약 생산)
유황 채굴,유황 광산,유황,유황 광산 해금
해부학,약품 공방,약품,약품공방 해금(약초 투입하여 약품 생산)
상업 농장,밀농장,밀,밀농장 강화(밀농장 효율 +1)
고급 가구,가구 공방,가구,나무/직물 투입 시 가구 효율 +1
직조기,의류 공방,의류,공구 투입 시 의류 효율 +2
,,,
산업시대,,,
기술,건물,생산,해금/효과
석탄 채굴,석탄 광산,석탄,석탄 광산 해금
증기기관,기계부품 공장,기계부품,기계부품 공장 해금(철/석탄/유리 투입)
공장제,공구공장,공구,공구공장 강화(석탄 투입 시 공구 효율 +2)
방직기,의류 공방,의류,석탄 투입 시 의류 효율 +2
제분 공장,식료품 공장,식료품,식료품 공장 강화(밀 투입 시 식료품 효율 +2)
콘크리트,콘크리트 공장,콘크리트,"콘크리트 공장 해금(석재/석탄 투입, 콘크리트 생산)"
철도,구리 광산/석탄 광산/철 광산/금 광산,구리/석탄/철/귀금속,구리 광산/석탄 광산/철 광산/금 광산 강화(기계부품 투입 시 효율 +2)
비료 화학,비료 공장,비료,"비료공장 해금(유황 투입, 비료 생산), 밀농장 비료 투입시 효율 +2"
다이너마이트,구리 광산/석탄 광산/철 광산/금 광산,,구리 광산/석탄 광산/철 광산/금 광산 강화(폭약 투입 시 효율 +2)
근대 병원,약품 공방,약품,약품공방 강화(약품 효율 +2)
대량 조세,수도,국고,세율 +0.05
강철 설비,철 광산,철,철 광산 강화(석탄 투입 시 철 효율 +2)
,,,
전기시대,,,
기술,건물,생산,해금/효과
구리 전선,구리 광산,구리,구리 광산 강화(효율 +2)
발전기,기계부품 공장,기계부품,구리 투입 시 기계부품 효율 +1
