"personId","id","effectType","targetId","amount","duration","usesPerRun","capGroup","runtimeEffectType","runtimeTargetId","displayNameKo","descriptionKo"
"liora_ven","forgotten_annotation","planned","random_previous_technology_discount","-0.15","90","1","technology_cost","technologyCostMultiplier","*","잊힌 주석","90초 동안 기술 연구 비용을 15% 낮춥니다."
"tarek_on","conditional_supply_boost","planned","conditional_supply_rate","-0.1","90","1","population_consumption","populationConsumptionMultiplier","*","긴급 배급","90초 동안 인구층 소비량을 10% 낮춥니다."
"mina_sorel","event_reroll","planned","next_event_candidates","1","0","1","provisional_flag","provisionalFlag","next_event_candidates","사건 재검토","다음 사건 후보를 한 번 더 검토할 수 있는 임시 효과를 부여합니다."
"borin_kael","food_delivery","planned","wonder_food_delivery_ratio","0.15","90","1","wonder_progress","wonderProgressMultiplier","*","식량 긴급 수송","90초 동안 불가사의 건축 진행 속도를 15% 높입니다."
"eda_mar","construction_surge","resourceOutputMultiplier","construction_power","0.25","0","1","","","","건설 총동원","건설력 산출량을 25% 높입니다."
"jin_oro","orbital_push","planned","wonder_progress_add","0.15","90","1","wonder_progress","wonderProgressMultiplier","*","궤도 건설 지원","90초 동안 불가사의 건축 진행 속도를 15% 높입니다."
"asha_ren","conference_mediation","planned","remove_negative_nation_choice","1","0","1","provisional_flag","provisionalFlag","remove_negative_nation_choice","회의 중재","국가 설립 선택지의 부정적 결과를 제거하는 임시 효과를 부여합니다."
"corvin_dal","parliamentary_push","planned","reform_progress_add","0.15","90","1","reform_speed","reformSpeedMultiplier","*","의회 추진","90초 동안 개혁 진행 속도를 15% 높입니다."
"nera_sol","emergency_relief","planned","population_shortage_penalty_reduction","-0.1","90","1","population_consumption","populationConsumptionMultiplier","*","긴급 구호","90초 동안 인구층 소비량을 10% 낮춰 품귀 부담을 완화합니다."
"selim_baro","export_surplus","planned","stockpile_to_treasury","0.1","90","1","treasury_income","treasuryIncomeMultiplier","treasury","잉여 수출","90초 동안 국고 수입을 10% 높입니다."
"ilia_crest","instant_recipe_change","planned","recipe_change_cooldown","0.1","90","1","resource_output","resourceOutputMultiplier","*","생산 방식 전환","90초 동안 전체 자원 산출량을 10% 높입니다."
"mara_kin","emergency_finance","planned","treasury_floor_protection","0.1","90","1","treasury_income","treasuryIncomeMultiplier","treasury","긴급 금융","90초 동안 국고 수입을 10% 높입니다."
"oren_vale","chronicle_fixation","planned","recent_event_chronicle_bonus","0.15","90","1","event_weight","eventWeightMultiplier","*","연대기 집중","90초 동안 사건 발생 가중치를 15% 높입니다."
"sia_noren","reveal_wonder_condition","planned","hidden_wonder_condition","1","0","1","provisional_flag","provisionalFlag","hidden_wonder_condition","불가사의 조사","숨겨진 불가사의 조건을 드러내는 임시 효과를 부여합니다."
"doran_pell","public_campaign","planned","reform_resistance_add","-10","90","1","reform_resistance","reformResistanceAdd","*","대중 캠페인","90초 동안 개혁 저항을 10 낮춥니다."
