시대구분,Tech01,Tech02,Tech03,Tech04,Tech05,Tech06,Tech07,Tech08,Tech09,Tech10,Tech11,Tech12
원시시대,원시 농경,원시 건축,목재 가공,석기 제작,채집 지식,가축 길들이기,털 손질,저장법,뼈바늘,돌 다듬기,,
고대시대,달력,청동 제련,문자 발명,도시 계획,벽돌 건축,수레,조세 제도,귀금속 활용,관개 농업,청동 도구,약초 재배,
고전시대,철 제련,철제 도구,화폐 주조,약초 가공,고전 농법,유리 제작,장인 작업장,제지술,정규 조세,,,
중세시대,삼포제,풍차,수차,길드,재단술,석조 주택,약초학,광산 배수,성곽 건축,장부 회계,대학,
르네상스시대,인쇄술,복식부기,대형 선박,정밀 공구,유리 렌즈,화약 제조,유황 채굴,해부학,상업 농장,고급 가구,직조기,
산업시대,석탄 채굴,증기기관,공장제,방직기,제분 공장,콘크리트,철도,비료 화학,다이너마이트,근대 병원,대량 조세,강철 설비
전기시대,구리 전선,발전기,전력망,전등,내연기관,자동차 부품,합성 비료,냉장 창고,전기 방직,전기 조립,근대 세무,제약 설비
현대시대,석유화학,플라스틱 용기,합성섬유,현대 의류,자동화 설비,원자력,고성능 콘크리트,합성 약품,정밀 유리,포장 가구,현대 행정,대형 광산
정보시대,반도체 장비,자동 물류,정밀 농업,바이오 의약,스마트 공장,합성 식품,탄소 소재,고급 가전,데이터 세무,자동 채굴,스마트 의류,고도 자동화
미래시대,핵융합 소재,나노 제조,초고강도 콘크리트,인공 식량,완전 자동 채굴,합성 의복,분자 약품,자율 공장,궤도 건재,미래 세무,초정밀 유리,고밀도 기계
